name,cuisine,price,rating,area,url,hours,notes
示例餐厅,中餐,¥50-100,4.5,KL,https://example.com,周一-周日 11:00-21:00,示例条目：这是一个用来展示 CSV 格式的示例行。
RunningMan Korea Restaurant,BBQ,RM 40-60,4.4,Johor,https://maps.app.goo.gl/SLcFTksQKvBHkXvy6?g_st=ic,10:00-22:00,Kimchi soup
Restoran Arab Zaatar,Arabic dishes,RM 30-80,4.8,Johor,https://maps.app.goo.gl/H4Txq32iZoJJZ8FTA,10:00–01:00,Mix Grill Family Size
Restoran Al-Safa Iskandar Puteri,Mamak,RM 1-20,4.2,Johor,https://maps.app.goo.gl/fbhHDxUXvKXWk2m58,24H operation,"Roti Kosong, Roti Telur,Megi Goreng"
阿华牛肉面 Ah Hua Beef noodles,Beef noodles,RM 20-40,4.4,Johor,https://maps.app.goo.gl/WbV8RYg739TsiKUa6,"08:00–21:00, Wednesday, rest","Beef noodles, 砂锅麻油鸡"
Jonker 88,Dessert,RM 1-20,3.8,Melaka,https://maps.app.goo.gl/35g3HyHiC8BB2uN36,09:30–18:00,Jonker Street Chendol
Da Ma Kuey Teow Sutera,Restaurant,RM 1-20,3.9,Johor,https://maps.app.goo.gl/xmnJtSWWWocBa5LU8,17:30–02:00,Kuey Teow
McQuek's Satay Celup,Satay restaurant,RM 20-40,4.5,Melaka,https://maps.app.goo.gl/vM3s47EguZwixKCQ8,"16:00–23:00, Wednesday, rest",Satay
BBQ Box (Mount Austin),Mandarin restaurant,RM 40-60,3.9,Johor,https://maps.app.goo.gl/5pe21psuXsX1X3b4A,12:00–02:00,"Pot Stickers, Spicy Chicken Wings"
Dajia Yuen Restaurant,Restaurant,RM 20-40,4.1,Johor,https://maps.app.goo.gl/F7n7PGN1ZS1AhEum7,11:00–23:00,"tofu, Ba Ku Teh"
Meet House Cafe,Cafe,RM 20-40,4.5,Johor,https://maps.app.goo.gl/gWGn23FjYYMkiktV9,Mon-Thu 11:00–22:00; Fri-Sun 10:30–22:00,"Cake, Cream pasta"
Shüü Cafe,Cafe,RM 20-40,4.1,Johor,https://maps.app.goo.gl/RFVsbjnjFCVBMDu47,Thu-Sun 10:00–18:00,Strawberry Matcha
Heng Park Garden Cafe,Asian,RM 1-20,3.8,Johor,https://maps.app.goo.gl/hhuZxM8L8kj4FCZ88,07:00–00:00,
arest Cafe Bukit Indah,Restaurant,RM 20-40,4.9,Johor,https://maps.app.goo.gl/eKFCvkJushcPfcF79,,Bukit Indah
Der' Cabin Bistro Gelang Patah,Restaurant,RM 20-40,4.8,Johor,https://maps.app.goo.gl/eKFCvkJushcPfcF79,,Gelang Patah
Queen Bean House 皇后红豆冰,Dessert shop,,4.3,Johor,https://maps.app.goo.gl/eKFCvkJushcPfcF79,,
火岩山擂茶 Volcano Thunder Tea,Restaurant,RM 1-20,4.4,Johor,https://maps.app.goo.gl/eKFCvkJushcPfcF79,,
Arashi Shabu-Shabu,Shabu Shabu,RM 40-120,4.9,Johor,https://maps.app.goo.gl/eKFCvkJushcPfcF79,,
Hot Pot Shabu Shabu Bukit Indah,Hot Pot,RM 40-60,4.6,Johor,https://maps.app.goo.gl/eKFCvkJushcPfcF79,,Bukit Indah
HAVOC Hotpot,Buffet,RM 40-60,4.0,Johor,https://maps.app.goo.gl/eKFCvkJushcPfcF79,,
大吉利自助火锅烤肉,Buffet,RM 40-60,4.7,Johor,https://maps.app.goo.gl/eKFCvkJushcPfcF79,,
（SinHaiCheng）,Restaurant,RM 1-40,4.1,Johor,https://maps.app.goo.gl/eKFCvkJushcPfcF79,,
中华风味湘菜馆,Restaurant,RM 20-100,3.9,Johor,https://maps.app.goo.gl/eKFCvkJushcPfcF79,,Hunan cuisine
Zen+ Korean BBQ(JOHOR BAHRU),Korean BBQ,RM 40-60,4.4,Johor,https://maps.app.goo.gl/eKFCvkJushcPfcF79,,
7773 Kopitiam,Coffee shop,RM 1-20,2.9,Johor,https://maps.app.goo.gl/eKFCvkJushcPfcF79,,
Kopitiam Tong Nam DSY,Asian,RM 1-20,3.9,Johor,https://maps.app.goo.gl/eKFCvkJushcPfcF79,,
Manzanita Pâtisserie & Boulangerie - Eco Botanic,Cafe,RM 20-40,4.8,Johor,https://maps.app.goo.gl/eKFCvkJushcPfcF79,,Eco Botanic
Village Park Restaurant,Malaysian,RM 1-20,4.3,KL,https://maps.app.goo.gl/eKFCvkJushcPfcF79,,
Restaurant Tau Fu,Chinese,RM 1-20,4.5,Johor,https://maps.app.goo.gl/eKFCvkJushcPfcF79,,
一日山品 Something Bakery @ Bukit Cina,Cafe,RM 20-40,4.4,Melaka,https://maps.app.goo.gl/DWPBnDWwiEDBwT8cA,,Bukit Cina
Kubu Yong Tau Foo Kopitiam,Chinese,RM 1-20,4.5,Melaka,https://maps.app.goo.gl/DWPBnDWwiEDBwT8cA,,Yong Tau Foo
Nancy's Kitchen,Nyonya restaurant,RM 20-40,3.9,Melaka,https://maps.app.goo.gl/DWPBnDWwiEDBwT8cA,,
Oriental Cafe,Chinese Noodles,RM 1-20,4.1,Melaka,https://maps.app.goo.gl/DWPBnDWwiEDBwT8cA,,
Restoran Kok Keong,Chinese,RM 1-20,4.0,Melaka,https://maps.app.goo.gl/DWPBnDWwiEDBwT8cA,,
Restaurant Lee Swee Meng,Chinese,RM 20-40,4.2,Melaka,https://maps.app.goo.gl/DWPBnDWwiEDBwT8cA,,
Restoran Thai Xiang,Thai,RM 1-20,4.3,Melaka,https://maps.app.goo.gl/DWPBnDWwiEDBwT8cA,,
